"","X.1","item","list","subexpt","integrated","related","n2num","text","animacy","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","errnd","errd","errcornd","errcord","LNPlurP.HP","TotalHead1","HeadToLocNSS.Match1","HeadToLocNSP.Match1","TotalHead2","HeadToLocNSS.Match2","HeadToLocNSP.Match2","TotalLocNS1","LocNS1ToHeadS","LocNS1toHeadP","TotalLocNS2","LocNS2ToHeadS","LocNS2toHeadP","TotalLocNP1","LocNP1ToHeadS","LocNP1toHeadP","TotalLocNP2","LocNP2ToHeadS","LocNP2ToHeadP","res.int","res.rel","res.asshl","res.rel2","assHL","assHL.asin.ns","assHL.asin","assHL.log.ns","assHL.log","assLS","assLS.asin.ns","assLS.asin","assLS.log.ns","assLS.log","assLP","assLP.asin.ns","assLP.asin","assLP.log.ns","assLP.log","all.asso.asin.ns","all.asso.asin","all.asso.log.ns","all.asso.log","local.asso.asin.ns","local.asso.asin","local.asso.log.ns","local.asso.log","lf.head","lf.prep","lf.adj","lf.noun","rel","int","plaus","lf.head.ns","lf.prep.ns","lf.adj.ns","lf.noun.ns","rel.ns","int.ns","plaus.ns","corr","tot","elog","rates","v","asin"
"1",1,"1",2,"SemRel","integ","rel","plur","The envelope for the formal letters","I",10.04,6749.25,8.31,37.37,9,9,22,23,0,20,8,0,20,3,0,20,2,0,20,2,0,20,0,0,20,1,0,0.712945915356846,0.0060514494668702,-0.443223181473721,2.60923732122985,50.5,1.58079649346906,3.56345053908278,1.70372115992702,2.65287502118892,33,1.22387942926773,1.64791035012961,1.51917146382166,1.52548702147803,25.5,1.05870657386075,0.954163927238916,1.40739090447073,0.999568932022423,0.722734247813416,1.81164820429733,1.09864372581706,1.59576003211666,0.600594126866051,1.17309056926669,0.944482672150169,1.36840981464046,0.0277106347024069,1.41956888133952,0.144278378218447,2.20612286850037,1.29424105661349,1.64950809862322,1.67038090840851,1.04,3.83,0.97,1.58,6.5,5.83,6.5,14,23,-0.422856850820034,39.1304347826087,0.174228675136116,0.675827633898682
"2",2,"1",4,"SemRel","integ","unrel","plur","The envelope for the photo albums","I",10.04,6749.25,22.82,2.33,0,2,21,24,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0.740949541523122,-1.33007367538561,-0.0293461035837509,-1.06076267877015,24,1.02394537609895,0.84988979875423,1.38111508070985,0.93228673503758,24,1.02394537609895,0.727472176978669,1.38111508070985,0.822980569180153,24,1.02394537609895,0.787166370433781,1.38111508070985,0.862715970727094,0,-0.692828510368207,-1.30102999566398,-0.811842529622405,0,-0.672044074523829,-1.30102999566398,-0.794802212292515,0.0277106347024069,1.41956888133952,0.80154654565804,-0.14106064437995,-0.830713937791562,-0.0788227825760625,-0.428841059070765,1.04,3.83,1.38,0.52,2.83,3.75,4.75,22,24,-2.19722457733622,8.33333333333333,0.444444444444444,0.292842771728575
"3",3,"1",6,"SemRel","unint","rel","plur","The envelope by the formal letters","I",10.04,1212.84,8.31,37.37,5,5,19,20,0,20,8,0,20,3,0,20,2,0,20,2,0,20,0,0,20,1,0,-0.447054084643154,1.30763551445299,-0.443223181473721,2.60923732122985,47.5,1.52077546998913,3.2709653705539,1.67715052127343,2.51116309271609,30,1.15927948072741,1.35051099430348,1.47784447633876,1.31519268588575,22.5,0.988432088926153,0.616555673051697,1.35314654621398,0.717046826205392,0.722734247813416,1.81164820429733,1.09864372581706,1.59576003211666,0.600594126866051,1.17309056926669,0.944482672150169,1.36840981464046,0.0277106347024069,0.631487051460481,0.144278378218447,2.20612286850037,1.29424105661349,0.685631261031312,1.27452762311241,1.04,3.08,0.97,1.58,6.5,4.67,6.17,15,20,-1.03609193168678,25,0.24633431085044,0.523598775598299
"4",4,"1",8,"SemRel","unint","unrel","plur","The envelope by the photo albums","I",10.04,1212.84,22.82,2.33,1,1,20,20,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,-1.08905045847688,0.723287392652832,-0.0293461035837509,-1.06076267877015,20,0.927295218001612,0.378909196617491,1.3021143769562,0.510944131060367,20,0.927295218001612,0.282522987263766,1.3021143769562,0.420981741802028,20,0.927295218001612,0.322845768546336,1.3021143769562,0.451254836283122,0,-0.692828510368207,-1.30102999566398,-0.811842529622405,0,-0.672044074523829,-1.30102999566398,-0.794802212292515,0.0277106347024069,0.631487051460481,0.80154654565804,-0.14106064437995,-0.830713937791562,-1.59942158670812,-0.632765478768752,1.04,3.08,1.38,0.52,2.83,1.92,4.58,19,20,-2.56494935746154,5,0.717948717948718,0.225513405898131
"5",5,"2",2,"SemRel","integ","rel","plur","The cake with the colored candles","I",44.84,5044.84,5.06,10.45,2,2,26,28,0,20,0,0,20,1,0,20,0,1,20,0,0,20,0,0,20,0,0,1.14688183437623,-0.925319359958321,-0.120055444474054,1.28804566864486,30.5,1.17016473409352,1.5624233592578,1.48501121457857,1.48640670495482,28,1.11519765339907,1.14757109501081,1.44793286559218,1.16298603614993,28,1.11519765339907,1.22555481338821,1.44793286559218,1.21072453599822,0.258921542006221,0.204407195344866,0.234685974321529,0.728947649618604,0.317560429291521,0.303559454335612,0.406540180433955,0.850183538494992,1.20208031803984,1.28296803082715,-0.160309309131608,1.05467435274776,0.524161998695586,1.37530175689449,1.57441647560945,1.66,3.7,0.78,1.06,5.17,5.5,6.42,26,28,-2.36085400111802,7.14285714285714,0.437735849056604,0.270549762978573
"6",6,"2",4,"SemRel","integ","unrel","plur","The cake with the candy figurines","I",44.84,5044.84,35.55,0.49,0,1,20,22,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,-0.0551332793273529,0.0451581698400836,-0.0601839759310847,0.0380456686448616,22,0.976410526793834,0.61825032305202,1.34340859380386,0.731182838174257,22,0.976410526793834,0.508635569797637,1.34340859380386,0.631109322462838,22,0.976410526793834,0.558802441450319,1.34340859380386,0.666328430603186,0,-0.692828510368207,-1.30102999566398,-0.811842529622405,0,-0.672044074523829,-1.30102999566398,-0.794802212292515,1.20208031803984,1.28296803082715,1.09010330209493,-0.916074068444207,-0.199596514385155,-0.220080594981773,1.46645648871052,1.66,3.7,1.56,0.17,3.92,3.58,6.33,21,22,-2.66258782702545,4.54545454545455,0.713178294573643,0.214849833075712
"7",7,"2",6,"SemRel","unint","rel","plur","The cake by the colored candles","I",44.84,1212.84,5.06,10.45,1,1,19,20,0,20,0,0,20,1,0,20,0,1,20,0,0,20,0,0,20,0,0,0.826881834376231,-0.555239771658586,-0.120055444474054,1.28804566864486,22.5,0.988432088926153,0.676831940331955,1.35314654621398,0.783119264445617,20,0.927295218001612,0.282522987263766,1.3021143769562,0.420981741802028,20,0.927295218001612,0.322845768546336,1.3021143769562,0.451254836283122,0.258921542006221,0.204407195344866,0.234685974321529,0.728947649618604,0.317560429291521,0.303559454335612,0.406540180433955,0.850183538494992,1.20208031803984,0.631487051460481,-0.160309309131608,1.05467435274776,0.524161998695586,1.10940469824844,-0.0329877737746741,1.66,3.08,0.78,1.06,5.17,5.18,5.08,19,20,-2.56494935746154,5,0.717948717948718,0.225513405898131
"8",8,"2",8,"SemRel","unint","unrel","plur","The cake by the candy figurines","I",44.84,1212.84,35.55,0.49,0,0,13,13,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,-0.135133279327353,0.137678066915017,-0.0601839759310847,0.0380456686448616,13,0.737725968453249,-0.544870350736966,1.1156105116743,-0.483756175594327,13,0.737725968453249,-0.590198647567451,1.1156105116743,-0.528052020968075,13,0.737725968453249,-0.587870879852707,1.1156105116743,-0.520117421695426,0,-0.692828510368207,-1.30102999566398,-0.811842529622405,0,-0.672044074523829,-1.30102999566398,-0.794802212292515,1.20208031803984,0.631487051460481,1.09010330209493,-0.916074068444207,-0.199596514385155,-0.286554859643284,0.530803268919758,1.66,3.08,1.56,0.17,3.92,3.5,5.55,13,13,-3.29583686600433,0,2.07407407407407,0
"9",9,"3",2,"SemRel","integ","rel","plur","The hammer for the rusty nails","I",10.18,6749.25,4.45,10.82,2,2,19,21,2.5,20,11,1,20,3,0,20,6,0,20,4,0,20,6,0,20,3,1,0.159348938097564,0.65426448362061,-0.200924608532806,1.59587337287802,56,1.69108620918968,4.10089732388031,1.74857561693099,2.89210192444501,46,1.49071074676124,2.87632405215088,1.66322963453287,2.25853385458891,43.5,1.44042734709175,2.78800282278478,1.63898815934368,2.20580210079634,1.06633797426916,3.00233141127728,1.41302020534491,1.9111752532304,1.01808121369811,2.45568700634577,1.37657695705651,1.78466734338925,0.0466520812078495,1.41956888133952,-0.224433032784251,1.07681759343531,1.43899275922964,1.30882749223298,1.07060320341443,1.05,3.83,0.74,1.07,6.75,5.42,6,19,21,-2.05412373369555,9.52380952380952,0.451282051282051,0.313727886461595
"10",10,"3",4,"SemRel","integ","unrel","plur","The hammer for the rigid pegs","I",10.18,6749.25,1.86,0.25,0,0,13,16,0,20,0,0,20,0,0,20,1,0,20,0,0,20,0,0,20,0,0,1.36857674618958,-1.27913367995658,-0.313137073992674,0.841348014436063,16,0.823033692134976,-0.129161945727745,1.20547503674089,-0.00447243256838044,18.5,0.88924311523178,0.107342184379481,1.26834391395106,0.249139139356171,16,0.823033692134976,-0.178040886965841,1.20547503674089,-0.052074003430811,0.182828716744095,-0.0592757691731086,-0.0538753807828547,0.439432849523436,0.224075285301819,0.0163560500079265,0.113943352306837,0.568310723115529,0.0466520812078495,1.41956888133952,-0.673299098352753,-1.07107675325706,0.472051385753773,1.5165595693002,-0.0329877737746741,1.05,3.83,0.46,0.1,5.08,5.67,5.08,16,16,-3.49650756146648,0,2.06060606060606,0
